,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,18340.56,18871.77,21442.08,19326.66,21958.32,20422.72
CVG,18480.66,0,18037.29,21422.72,18711.06,21433.76,20048.8
DTW,18989.52,18004.56,0,21570.56,18660.84,21443.72,20067.04
LAX,21906.06,21245.28,21728.4,0,20692.32,19428.48,18633.68
MSP,19722.12,18745.44,18796.74,20966.88,0,20336.5,19446.88
SEA,22803,21475.44,21834.54,19539.52,20267.88,0,18829.76
SLC,21292.26,20307.84,20580.99,18805.6,19572.9,18965.34,0
AL,17984.81143,18444.96,18986.53714,21169.02857,19271.34857,21840.46,20297.42857
AR-LA,18680.244,18748.128,19271.808,20466.336,18988.404,21319.884,19760
AR-OK,19199.4,18921,19344.825,20045.52,18763.305,20882.225,19377.34
CT-RI-MA,19721.27143,19030.8,18949.41429,22847.06286,19835.80286,22647.69429,21168.17143
DE-NJ-PA,19181.184,18564,18594.708,22382.624,19454.64,22257.452,20810.624
GA,17945.224,18611.97333,19138.13667,21697.08444,19628.16,22266.52667,20706.28444
IA-IL,19262.76,18426.66,18491.5875,20729.28,17971.125,20587.575,19339.34
ID,21620.544,20586.72,20884.404,19057.632,19689.54,18657.244,17934.176
ID-MT,22063.14,20819.68,21098.88,19698.50667,19616.64,18289.72,18455.84
IL,18749.28,18125.52,18434.4,20886.50667,18373.02,20996.62667,19588.24
IL-IN-MI,19013.94,18052.16,17918.95,21283.68,18385.17,21161.24333,19818.52
IN,18593.124,17841.6,18170.514,21175.968,18559.104,21244.188,19851.808
KS-MO,19306.32,18690,19067.58,20287.168,18385.44,20594.796,19146.224
KY-OH,18506.4,17763.12,18093.23571,21391.04,18781.41429,21516.52286,20065.73714
LA,18593.916,18979.968,19569,20790.528,19442.004,21740.196,20097.744
MD-VA-PA,18917.844,18457.824,18523.338,22293.568,19391.784,22192.712,20751.344
MI,19263.2,18239.76,17857.56367,21653.28,18582.54,21296.16444,20137.46667
MN,20068.33714,18981.6,19053.98571,21019.42857,17889.46543,20248.52,19516.8
MO-AR,18747.96,18333.42,18740.01,20670.76,18496.815,21026.645,19570.76
MS,18249.84857,18601.92,19156.72714,20940.98286,19198.44857,21721.41429,20141.30286
MT,21508.08,20375.88,20613.93,19598.18667,19188.42,18688.12,18255.45333
NC,18314.934,18450.264,18824.556,22031.152,19558.158,22350.412,20811.688
NCA,22379.676,21500.976,21905.178,18163.2,20766.516,18911.556,18686.272
ND,20542.335,19366.62,19473.3825,20608.28,18178.485,19735.995,19157.7
NFL,18236.4,18878.77091,19432.74818,21703.04,19811.18727,22425.98727,20831.18545
NH-VT-ME,19935.96,19175.1,18998.04,22953.92,19934.16,22748.48,21260.62
NM-CO,20477.49,19760.58,20137.90125,19205.78,19299.7275,19745.125,18296.81
NNY,19423.14,18525.36,18366.42857,22273.55429,19307.91429,22107.00857,20673.30286
NV-AZ-TX,21057.8775,20600.79,21096.82125,18421.26,20148.2025,19896.3925,18557.68
NV-UT,21641.532,20679.456,21007.746,18487.392,19992.804,19077.224,17973.1792
OH,18990.51,18005.4,17883.1125,21748.76,18824.865,21611.795,20220.18
OR,22677.27,21484.26,21861.075,19045.4,20503.59,18043.21,18680.8
PA,19069.116,18257.904,18218.094,22041.184,19121.568,21915.824,20498.112
SC,18077.235,18484.62,18927.585,21874.6,19593.15,22334.725,20768.52
SCA,21838.344,21163.128,21686.676,139.656,20656.032,19521.44,18599.024
SD-NE,19882.17,19035.24,19141.39,20283.12,18167.01,20047.93667,18927.04
SFL,18716.676,19314.12,19925.301,22262.768,20265.126,22919.792,21304.016
SNY,19362.156,18710.496,18699.018,22532.928,19546.98,22351.74,20897.264
TN,18058.92,18103.96,18614.045,21238.21333,19032.09,21680.82333,20169.64
TX,19245.16,19327.46667,19929.10333,20152.97778,19393.08,21209.66,19616.78222
VA,18707.964,18538.128,18786.858,22308,19624.416,22431.088,20916.112
WA,22593.12,21306.88,21650.93,19591.14667,20105.88,17817.616,18748.18667
WI,19370.868,18374.832,18393.042,21131.616,17952.9,20706.348,19668.192
WI-MI,19581.144,18564.336,18440.256,21420.608,18058.524,20786.36,19914.128
WV-VA,18575.304,18106.704,18387.552,21888.768,19217.472,22014.428,20520.608
WY,20956.848,20010.144,20232.924,19412.448,19066.488,19191.1,18129.344
