,1,2,3,4,5,6,7
0,0.687289279,0.472366553,0.324652467,0.22313016,0.153354967,0.105399225,0.072439757
1,0.312710721,0.354274915,0.365234026,0.33469524,0.287540563,0.237148255,0.190154362
2,,0.173358533,0.20544414,0.25102143,0.269569278,0.266791787,0.2495776
3,,,0.104669367,0.125510715,0.168480799,0.20009384,0.2183804
4,,,,0.065642454,0.078975374,0.112552785,0.143312138
5,,,,,0.04207902,0.050648753,0.075238872
6,,,,,,0.027365354,0.032917007
7,,,,,,,0.017979863
