SPARES AVAILABLE,BEING REPAIRED,ATL,CVG,DTW,MSP,SLC,SEA,LAX
0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0
